,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.11. 2024,,,,,,,"Консультація,
",,,,"Консультація,
",,"Консультація,
",,"Консультація,",,"Консультація,",,,,"Консультація,",,"Консультація,",,,,,,консультація,,11-00 консультація,,консультація,"Класична механіка,
доц. Рокицька Г.В.,
ауд. 453",, Консультація,,,,,,,, Консультація,,консультація ,,консультація ,,консультація ,,консультація ,,консультація ,,консультація ,,консультація ,,,,,,,,,,"Методологія та технології DataScience
доц. Галицький О.В.",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.11. 2024,,,,,,,"Історія української державності
доц. Подобєд О.А.
ауд.340",,,,"Історія української державності
доц. Подобєд О.А.
ауд.340",,"Історія української державності
доц. Подобєд О.А.
ауд.340",,"математичні методи економіки,
доц. Сушко-Крикун  О.С.
ауд. 334",,"Алгебра і теорія чисел,
доц. Требенко Д.Я.
ауд.448",,,,"програмування,
викл. Габрусев В.Ю.",,"програмування,
викл.Устименко О.Б.
(Вакуленко І.В.)",,"Консультація,",,"Консультація,",,"Основи геометрії,
доц. Шаповалова Н.В.
ауд.451",,"Дискретна математика,
доц. Лисенко І.М.
ауд. 320",,"
Теорія і практика перекладу. 
доц. Панов С.Ф.
1-51а",,,"Історія педагогіки,
ст.викл. Вознюк О.В.
ауд. ",,,,,,,,"Технології сховищ даних та 
інтелектуальний аналіз даних, 
доц. Малежик П.М., ауд. 1-51",,"Освітня політика і лідерство,
доц. Процька С.М.",,"Освітня політика і лідерство,
доц. Процька С.М.",,"Освітня політика і лідерство,
доц. Процька С.М.",,"Освітня політика і лідерство,
доц. Процька С.М.",,"Освітня політика і лідерство,
доц. Процька С.М.",,"Освітня політика і лідерство,
доц. Процька С.М.",,"Освітня політика і лідерство,
доц. Процька С.М.",,,,,,консультація,,консультація,,,,консультація,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.11. 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"консультація

",,"консультація

",,,,,,,,,,,,"Математичні методи дослідження операцій,
проф. ГончаренкоЯ.В.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.11. 2024,"консультація
",,"консультація
",,,,,,,,,,,,,,"Консультація,",,"Консультація,",,,,,,,,,,,,,,,,,,, Консультація,,,, Консультація,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.11. 2024,"Лінійна алгебра,
доц. Требенко Д.Я.
ауд. 448",,"Геометрія,
проф. Працьовитий М.В.
ауд. 431",,"Консультація,",,"Консультація,",,,,,,,,"Консультація,",,"цифрові освітні  технології,
викл. Малюх Є.В.
ауд.1-51а",,"цифрові освітні  технології,
викл. Малюх Є.В.
ауд.1-51а",,,,,,"Операційні системи,
доц. Малежик П.М.",,"Операційні системи,
доц. Малежик П.М.",,,,,,,,,,,"
Методи обчислень
ст.викл. Нестерова О.Д.",,,,"Архітектура та проектування 
програмного забезпечення, 
доц. Шевчук Б.В.",,,,,,,,"Елементи теорії випадкових процесів і фрактального аналізу у фінансовій математиці,
проф. Торбін Г.М.",,"
Системний аналіз (лек),
проф. Січкаренко В.О.
",,,,консультація,,,,,,,,,,"ЦТ у STREAM-освіті,
проф. Струтинська О.В.","17:00
Технології програмування 
робототехнічних систем
Деркач А.С.
",,,"ШКІ та теорія та методика його навчання,
доц. Єфименко В.В.",,консультація
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.11. 2024,,,,,"аналітична геометрія і лінійна алгебра,
доц. Лисенко І.М.
ауд. 340",,"аналітична геометрія і лінійна алгебра,
доц. Лисенко І.М.
ауд. 340",,"Консультація,",,"Консультація,",,"Фізика (вибрані розділи),
доц. Василенко С.Л.,
ауд. 320",,"Математичний аналіз,
доц. Деканов С.Я.
ауд.451",,,,,,"Консультація,",,"Консультація,",,,,,,консультація,,консультація,,,  Консультація,,,,,, Консультація,,,, Консультація,,,,,,,,,,"консультація 

",,"Фізика наноматеріалів та композитів ,
доц. Василенко С.Л.
",,консультація,,консультація,,консультація,,,,,,,,,,"Фотоелектронні явища в напівпровідниках,
проф. Тартачник В.П."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.11. 2024,"консультація
",,"консультація
",,,,,,"аналітична геометрія і лінійна алгебра,
доц. Лисенко І.М.,
ауд. 340",,"аналітична геометрія і лінійна алгебра,
доц. Лисенко І.М.,
ауд. 340",,,,,,,,,,"математичний аналіз,
доц. Пафик С.П.",,"комп'ютерна логіка,
доц.Твердохліб І.А.",,,,,,"комплексний аналіз,
доц. Білоцький М.М., 
ауд. 454",,"Основи геометрії,
доц. Шаповалова Н.В., ауд. 451",,,"Оптика,
проф. Шут М.І.,
ауд. 320",, Консультація,,,,"
Комп’ютерні системи,
проф. Малежик М.П.,",,,,"основи програмної інженерії, 
викл. Майданюк І.В.",,,,,,"консультація 

",,"консультація 

",,"Методика навчання 
комп'ютерних дисциплін,
доц. Стецик С.П.
",,,,"Комп'ютерна фізика,
доц. Павлова Н.Ю.
",,"історія і методологія математики,
доц. Яценко С.Є.
",,"історія і методологія математики,
доц. Яценко С.Є.",,консультація,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.11. 2024,"
культура здоров'я особистості,
доц. Антоневич Б.Р., 
",,"
культура здоров'я особистості,
доц. Антоневич Б.Р., 
",,"консультація
",,"консультація
",,,,,,"консультація
",,"Консультація,",,Консультація,,Консультація,,,,,,"Консультація
",,"Консультація
",,,,,,,,,"Теорія ймовірностей та математична статистика, 
доц. Нікіфоров Р.О.",, Консультація,,,, Консультація,,,,,,,,"15:00
Елементи функціонального аналізу,
проф. Шевчук І.О.
",,"математико-статистичні методи 
в педагогічних дослідженнях 
з інформатики,
доц. Нікіфоров Р.О.",,,,,,,,,,,,"Економічні та страхові ризики,
проф. Гончаренко Я.В.
",,консультація,,,,консультація,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.11. 2024,,,,,"
культура здоров'я особистості,
доц. Антоневич Б.Р., 
",,"
культура здоров'я особистості,
доц. Антоневич Б.Р., 
",,,,,,"
культура здоров'я особистості,
доц. Антоневич Б.Р., 
",,"цифрові технології,
Шевчук Б.В.",,"Математичний аналіз,
доц. Деканов С.Я.
ауд. 451",,"електрика і магнетизм,
проф. Січкар Т.Г.,
ауд.320",,,,,,"об'єктно-орієнтоване програмування,
дистанційно,
Іваненко В.А.",,"об'єктно-орієнтоване програмування,
дистанційно,
Іваненко В.А.",,,,,,,,,,,"фізични основи
 робототехніки та схемотехніки,
викл. Мигун А.",, Консультація,,"
Технології сховищ даних та знань,
 доц. Малежик П.М.",,,,консультація ,,консультація ,,консультація ,,консультація ,,консультація ,,консультація ,,консультація ,,,,,,,,"Організація проєктоної діяльності у STREAM-освіті,
Ткаченко М.М.","17:00
Освітня робототехніка та 
методика її викладання,
Конофольська В.В.
",,,"ШКМ і теорія та методика його навчання, 
доц. Лук'янова С.М.
",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.11. 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Організація наукового дослідження,
Свириденко Д.Б.
",,"Організація наукового дослідження,
Свириденко Д.Б.
",,"Організація наукового дослідження,
Свириденко Д.Б.
",,"Організація наукового дослідження,
Свириденко Д.Б.
",,"Організація наукового дослідження,
Свириденко Д.Б.
",,"Організація наукового дослідження,
Свириденко Д.Б.
",,"Організація наукового дослідження,
Свириденко Д.Б.
",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.11. 2024,"консультація
",,"консультація
",,,,,,"консультація
",,"консультація
",,,,,,,,,,,,,,,,,,консультація,,консультація,,,,,,,,,,,,, Консультація,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.11. 2024,"Аналітична геометрія,
проф. Працьовитий М.В.
ауд. 431",,"Алгебра і теорія чисел
доц. Требенко Д.Я.
ауд.448",,"Фізична хімія,
проф. Січкар Т.Г.,
ауд.320",,,,"12-00
фізичні основи комп'ютерних систем,
проф. Чумак М.Є.
ауд. 340",,"Фізика (вибрані розділи),
доц. Василенко С.Л.,
ауд. 320",,"Консультація,",,"Консультація,",,"Консультація,",,,,"комп'ютерна дискретна математика,
ст.викл. Нестерова О.Д.",,Консультація,,Консультація,,,,"Дискретна математика,
доц. Лисенко І.М.
ауд. 419",,"комплексний аналіз,
доц. Білоцький М.М.
ауд.451",,,,,,,,,"проектування комп'ютерних мереж,
Франчук В.М.,
",, Консультація,,"
веб-технології та веб-дизайн,
викл. Фещенко Б.П.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.11. 2024,,,,,,,,,,,,,"аналітична геометрія і лінійна алгебра,
доц. Лисенко І.М.,
ауд. 448",,"Алгебра і теорія чисел,
доц. Василенко Н.М.,
ауд. 451",,"геометрія,
доц. Панченко Л.Л.,
ауд. 419",,,,,,"математичний аналіз,
доц. Пафик С.П.",,"математичний аналіз,
доц. Пафик С.П.",,Консультація,,,,,,,,,,,,,,,"Аналіз вимог
 до програмного забезпечення, 
викл. Фещенко Б.П.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.11. 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,"математичний аналіз,
доц. Пафик С.П.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.11. 2024,,,,,,,,,"Консультація,",,"Консультація,",,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.11. 2024,"Консультація,
",,"Консультація,
",,"Консультація,
",,,,"
культура здоров'я особистості,
доц. Антоневич Б.Р., 
",,"
культура здоров'я особистості,
доц. Антоневич Б.Р., 
",,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,,"Економічна теорія,
доц. Бицюра Ю.В.,
ауд.451","Загальна фізика,
проф. Січкар Т.Г.,
ауд.320","Економічна теорія,
доц. Бицюра Ю.В.,
ауд.451","Практ.курс англійської мови, 
доц. Холоденко О.В.,
кафедра","9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.11. 2024,"Математичний аналіз, 
доц. Білоцький М.М.
ауд.451",,"Математичний аналіз, 
доц.Пафик С.П.
ауд. 448",,"Математичний аналіз, 
доц. Білоцький М.М.
ауд.451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.11. 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.11. 2024,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.11. 2024,,,,,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.11. 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.11. 2024,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.11. 2024,,,,,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,,,,"9-30 Ліквідація академ.заборгованості 
кафедри",,"9-30 Ліквідація академ.заборгованості 
кафедри",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.11. 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.11. 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Екзамени,,,,,,"Історія української державності
 Математичний аналіз
Фізична хімія",,,,,,,,,,"Іноземна мова
Алгебра і теорія чисел
Математичний аналіз",,"Іноземна мова
Алгебра і теорія чисел
Математичний аналіз",,"Математичний аналіз
Молекулярна фізика                                            
Іноземна мова                            
Інформатика",,,,,,,,,,"Комплексний аналіз;
Основи геометрії;
Дискретна математика
Курсова робота з диф.геометрії і топології","Комплексний аналіз;
Основи геометрії;
Дискретна математика;
Економічна теорія;
Курсова робота з диф.геометрії і топології","Комплексний аналіз;
Основи геометрії;
Дискретна математика;
Загальна фізика;
Курсова робота з диф.геометрії і топології","Комплексний аналіз;
Основи геометрії;
Дискретна математика;
Економічна теорія;
Курсова робота з диф.геометрії і топології",,"Оптика;
Класична механіка
Курсова робота з загальної фізики",,,,,,,,,,,,"Математична логіка;
Методика навчання математики
",,"Методика навчання математики
Елементарна математика;
Теоретична фізика
","Методика навчання математики
Елементарна математика;
 Статистика
","Квантова механіка;

Курсова робота
з методики навчання фізики","Квантова механіка;
Алгебра і теорія чисел
Курсова робота
з методики навчання фізики",Екзамени,,,,Екзамени,,Екзамени,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Заліки,,,,,,"Аналітична геометрія та лінійна алгебра
безпека життєдіяльності,
охорона праці,
екологія,
Інформатика
Фізичне виховання (пмк)",,,,,,,,,,"Проективна геометрія і методи зображень
Загальна фізика або Економічна теорія
Фізичне виховання (пмк)",,"Елементарна математика
Проективна геометрія і методи зображень
Загальна фізика або Економічна теорія
Фізичне виховання (пмк)",,"Українська культура
Психологія
Культурологія
Фізичне виховання (пмк)
Культурологічна практика",,,,,,,,,,"Методика навчання математики;
Загальна фізика;
Вікова фізіологія і валеологія
Елементарна математика (пмк);
Педагогіка та історія педагогіки (пмк)","Методика навчання математики;
Вікова фізіологія і валеологія
Елементарна математика (пмк);
Педагогіка та історія педагогіки (пмк)","Методика навчання математики;
Елементарна математика;
Вікова фізіологія та валеологія
Педагогіка та історія педагогіки (пмк);
Українська мова для іноземців (пмк)",,,"Педагогіка та історія педагогіки;
Астрономія;
Фізичні дослідження в Україні;
Вікова фізіологія і валеологія
Навчальна практика: Астрономічні спостереження;
Українська мова для іноземців (пмк)",,,,,,,,,,,,"Педагогіка та історія педагогіки
Основи Інклюзивної освіти
Теоретична фізика або Статистика
Основи економічної теорії АБО Менеджмент і маркетінг
Дослідження операцій
Педагогічна практика",,"Педагогіка та історія педагогіки
Основи Інклюзивної освіти
Основи економічної теорії АБО Менеджмент і маркетінг
Математична логіка
Математичне програмування
Педагогічна практика",,"основи сучасної електроніки,
астрофізика,
вибр.питання теор.фізики,
навчальна педагогічна практика","методика навчання астрономії,
астрофізика,
вибр.питання теор.фізики
навчальна педагогічна практика",Заліки,,,,Заліки,,Заліки,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
